primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappears_after_first,reappearance_count,sqrt_reappearance,row_id,title_clean,artist_clean,track_id,genre,duration_ms,duration_sec,clean_title,search_artist,genre_final,lastfm_genre
extreme,1991,"""More Than Words""","""extreme""",TRUE,2,Soundings of the Planet,1989,Soundings of the Planet,1990,FALSE,7,FALSE,1,1,399,more than words,extreme,TRBKGCN128F422B8E8,Pop	Rock,334106,334.106,More Than Words,extreme,Pop	Rock,rock
hi-five,1991,"""I Like the Way (The Kissing Game)""","""hi-five""",TRUE,3,Rhino,1980,Rhino,1990,TRUE,8,TRUE,2,1.4142135623731,400,i like the way the kissing game,hifive,NA,NA,348773,348.773,I Like the Way (The Kissing Game),hi-five,r&b,r&b
amy grant,1991,"""Baby Baby""","""amy grant""",TRUE,5,Amy Grant (AGG),1991,Amy Grant (AGG),1990,FALSE,10,TRUE,4,2,401,baby baby,amy grant,NA,NA,236973,236.973,Baby Baby,amy grant,country,pop
boyz ii men,1991,"""Motownphilly""","""boyz ii men""",TRUE,13,Qwest Records IGA,1991-01-01,Qwest Records IGA,1990,FALSE,11,TRUE,12,3.46410161513775,402,motownphilly,boyz ii men,TRRFWIO128F92E31F3,NA,235226,235.226,Motownphilly,boyz ii men,r&b,r&b
stevie b,1991,"""Because I Love You (The Postman Song)""","""stevie b""",TRUE,2,Perpetual,2014-02-04,Perpetual,1990,FALSE,12,TRUE,1,1,403,because i love you the postman song,stevie b,TRJFRKL12903CF684C,Pop	Rock,306828,306.828,Because I Love You (The Postman Song),stevie b,Pop	Rock,pop
damn yankees,1991,"""High Enough""","""damn yankees""",TRUE,1,Rhino/Warner Records,1990,Rhino; Warner Records,1990,TRUE,14,FALSE,0,0,404,high enough,damn yankees,TRKVPQX128F92F3F91,Rock,287320,287.32,High Enough,damn yankees,Rock,rock
jesus jones,1991,"""Right Here, Right Now""","""jesus jones""",TRUE,2,RT Industries,1991-01-28,RT Industries,1990,FALSE,17,FALSE,1,1,405,right here right now,jesus jones,NA,NA,189293,189.293,"Right Here, Right Now",jesus jones,electronic,rock
marky mark and the funky bunch,1991,"""Good Vibrations""","[""marky mark and the funky bunch"",""loleatta holloway""]",TRUE,2,Interscope,1991,Interscope,1990,FALSE,20,TRUE,1,1,406,good vibrations,marky mark and the funky bunch,NA,NA,269306,269.306,Good Vibrations,marky mark and the funky bunch & loleatta holloway,rap,pop
tara kemp,1991,"""Hold You Tight""","""tara kemp""",TRUE,2,Rhino/Warner Records,1991,Rhino; Warner Records,1990,TRUE,25,FALSE,1,1,407,hold you tight,tara kemp,NA,NA,284344,284.344,Hold You Tight,tara kemp,NA,pop
ralph tresvant,1991,"""Sensitivity""","""ralph tresvant""",TRUE,1,Blue Note Records,1951,Blue Note Records,1990,FALSE,29,FALSE,0,0,408,sensitivity,ralph tresvant,TRQMAPS128F92EC3BF,RnB	Rock,281333,281.333,Sensitivity,ralph tresvant,RnB	Rock,r&b
cathy dennis,1991,"""Touch Me (All Night Long)""","""cathy dennis""",TRUE,3,UMC (Universal Music Catalogue),1990-08-14,UMC (Universal Music Catalogue),1990,FALSE,30,FALSE,2,1.4142135623731,409,touch me all night long,cathy dennis,TRMTBIO128E078493A,NA,249520,249.52,Touch Me (All Night Long),cathy dennis,electronic,pop
londonbeat,1991,"""I've Been Thinking About You""","""londonbeat""",TRUE,1,Geffen,1990-01-01,Geffen,1990,FALSE,31,FALSE,0,0,410,ive been thinking about you,londonbeat,TRSSZGF128F42910AF,Pop	Rock,317933,317.933,I've Been Thinking About You,londonbeat,Pop	Rock,pop
natural selection,1991,"""Do Anything""","""natural selection""",TRUE,1,Rhino Atlantic,1991-11-01,Rhino Atlantic,1990,FALSE,32,FALSE,0,0,411,do anything,natural selection,NA,NA,237373,237.373,Do Anything,natural selection,NA,pop
lenny kravitz,1991,"""It Ain't Over 'til It's Over""","""lenny kravitz""",TRUE,3,Virgin Records,1991-04-02,Virgin Records,1990,FALSE,35,TRUE,2,1.4142135623731,412,it aint over til its over,lenny kravitz,NA,NA,242640,242.64,It Ain't Over 'til It's Over,lenny kravitz,pop rock,rock
celine dion,1991,"""Where Does My Heart Beat Now""","""celine dion""",TRUE,11,Columbia,1990-04-02,Columbia,1990,FALSE,37,TRUE,10,3.16227766016838,413,where does my heart beat now,celine dion,TRGHYVB128F92EB230,NA,272866,272.866,Where Does My Heart Beat Now,celine dion,vocal,pop
dj jazzy jeff,1991,"""Summertime""","[""dj jazzy jeff"",""the fresh prince""]",TRUE,2,Jive,1991-07-09,Jive,1990,FALSE,38,TRUE,1,1,414,summertime,dj jazzy jeff,TRMHTJF128F425E0EB,NA,270973,270.973,Summertime,dj jazzy jeff & the fresh prince,rap,rap
scorpions,1991,"""Wind of Change""","""scorpions""",TRUE,1,Island Mercury,1980-03-31,Island Mercury,1990,FALSE,39,FALSE,0,0,415,wind of change,scorpions,TRHYECH128F145E5AF,NA,312360,312.36,Wind of Change,scorpions,NA,rock
rythm syndicate,1991,"""P.A.S.S.I.O.N.""","""rythm syndicate""",TRUE,1,Hieroglyphics Imperium,2000,Hieroglyphics Imperium,1990,FALSE,40,FALSE,0,0,416,passion,rythm syndicate,NA,NA,216197,216.197,P.A.S.S.I.O.N.,rythm syndicate,NA,NA
sir mix-a-lot,1992,"""Baby Got Back""","""sir mix-a-lot""",TRUE,1,American Recordings Catalog P&D,1992-01-01,American Recordings Catalog P&D,1990,FALSE,2,FALSE,0,0,417,baby got back,sir mixalot,TRWFPKQ128F93238AA,NA,262826,262.826,Baby Got Back,sir mix-a-lot,rap,rap
kris kross,1992,"""Jump""","""kris kross""",TRUE,4,The Bicycle Music Company,1989-01-01,The Bicycle Music Company,1990,FALSE,3,TRUE,3,1.73205080756888,418,jump,kris kross,TRBDCXE128F4268C1D,Rap	Rock,195106,195.106,Jump,kris kross,Rap	Rock,rap
tlc,1992,"""Baby-Baby-Baby""","""tlc""",TRUE,10,Epic,1982-11-30,Epic,1990,FALSE,5,TRUE,9,3,419,babybabybaby,tlc,TREWMNR128F4292968,NA,315040,315.04,Baby-Baby-Baby,tlc,r&b,pop
red hot chili peppers,1992,"""Under the Bridge""","""red hot chili peppers""",TRUE,5,Warner Records,1991-09-24,Warner Records,1990,FALSE,8,TRUE,4,2,420,under the bridge,red hot chili peppers,NA,NA,264306,264.306,Under the Bridge,red hot chili peppers,pop rock,rock
jon secada,1992,"""Just Another Day""","""jon secada""",TRUE,4,SBK/EMI RECORDS,1992-01-01,SBK; EMI RECORDS,1990,TRUE,10,TRUE,3,1.73205080756888,421,just another day,jon secada,TRTQRXM128F14885C1,Pop,327426,327.426,Just Another Day,jon secada,Pop,pop
shanice,1992,"""I Love Your Smile""","""shanice""",TRUE,2,UNI/MOTOWN,1991-11-19,UNI; MOTOWN,1990,FALSE,11,TRUE,1,1,422,i love your smile,shanice,TRIAHMR12903CB0DD0,NA,257973,257.973,I Love Your Smile,shanice,r&b,pop
mr. big,1992,"""To Be with You""","""mr. big""",TRUE,2,evoxs,1991,evoxs,1990,FALSE,12,FALSE,1,1,423,to be with you,mr big,TRAOBMY12903CAA8DF,Rock,208080,208.08,To Be with You,mr. big,Rock,rock
right said fred,1992,"""I'm Too Sexy""","""right said fred""",TRUE,1,Virgin Records,1992-07-11,Virgin Records,1990,FALSE,13,FALSE,0,0,424,im too sexy,right said fred,TRCYPQV128F428CB1C,Rock	Pop,170466,170.466,I'm Too Sexy,right said fred,Rock	Pop,pop
billy ray cyrus,1992,"""Achy Breaky Heart""","""billy ray cyrus""",TRUE,1,Mercury Nashville,1992,Mercury Nashville,1990,FALSE,15,FALSE,0,0,425,achy breaky heart,billy ray cyrus,TRMVTWF128F42ACDEC,Country,203373,203.373,Achy Breaky Heart,billy ray cyrus,Country,country
tom cochrane,1992,"""Life Is a Highway""","""tom cochrane""",TRUE,1,Universal Music Canada,1991-09-19,Universal Music Canada,1990,FALSE,18,FALSE,0,0,426,life is a highway,tom cochrane,TRHWPOC128F145C7A4,Rock,266080,266.08,Life Is a Highway,tom cochrane,Rock,rock
cece peniston,1992,"""Finally""","""cece peniston""",TRUE,3,A&M,1992-01-01,A&M,1990,TRUE,20,FALSE,2,1.4142135623731,427,finally,cece peniston,TRUVHVW128F42B7805,Electronic	Pop,245000,245,Finally,cece peniston,Electronic	Pop,pop
patty smyth,1992,"""Sometimes Love Just Ain't Enough""","[""patty smyth"",""don henley""]",TRUE,1,A&M,1979-01-01,A&M,1990,TRUE,22,FALSE,0,0,428,sometimes love just aint enough,patty smyth,NA,NA,267600,267.6,Sometimes Love Just Ain't Enough,patty smyth & don henley,NA,rock
house of pain,1992,"""Jump Around""","""house of pain""",TRUE,1,"Tommy Boy Music, LLC",1992-07-21,"Tommy Boy Music, LLC",1990,FALSE,24,FALSE,0,0,429,jump around,house of pain,NA,NA,218546,218.546,Jump Around,house of pain,rap,rap
joe public,1992,"""Live and Learn""","""joe public""",TRUE,1,Columbia/Legacy,1992-01-28,Columbia; Legacy,1990,TRUE,30,FALSE,0,0,430,live and learn,joe public,NA,NA,262333,262.333,Live and Learn,joe public,rap,pop
jodeci,1992,"""Come and Talk to Me""","""jodeci""",TRUE,4,Universal (MT),1991-05-28,Universal (MT),1990,FALSE,31,TRUE,3,1.73205080756888,431,come and talk to me,jodeci,TRIJLQJ128E078F6F1,RnB,276266,276.266,Come and Talk to Me,jodeci,RnB,NA
nirvana,1992,"""Smells Like Teen Spirit""","""nirvana""",TRUE,1,Geffen,1991-09-26,Geffen,1990,FALSE,32,FALSE,0,0,432,smells like teen spirit,nirvana,TRTQHCR128F42640F5,NA,301920,301.92,Smells Like Teen Spirit,nirvana,NA,rock
sophie b. hawkins,1992,"""Damn I Wish I Was Your Lover""","""sophie b. hawkins""",TRUE,3,Columbia,1992-04-06,Columbia,1990,FALSE,34,TRUE,2,1.4142135623731,433,damn i wish i was your lover,sophie b hawkins,TRMGTWK128F4271E2C,NA,323266,323.266,Damn I Wish I Was Your Lover,sophie b. hawkins,pop rock,pop
arrested development,1992,"""Tennessee""","""arrested development""",TRUE,3,Capitol Records,1992-03-24,Capitol Records,1990,FALSE,40,TRUE,2,1.4142135623731,434,tennessee,arrested development,TRGGOWM128F145C15F,Rap,272706,272.706,Tennessee,arrested development,Rap,rap
tag team,1993,"""Whoomp! (There It Is)""","""tag team""",TRUE,2,Westbound Records,1993-05-07,Westbound Records,1990,FALSE,2,TRUE,1,1,435,whoomp there it is,tag team,TRUUWEN12903CF5D05,Rap	Rock,225266,225.266,Whoomp! (There It Is),tag team,Rap	Rock,rap
silk,1993,"""Freak Me""","""silk""",TRUE,2,Rhino/Elektra,1992,Rhino; Elektra,1990,TRUE,5,TRUE,1,1,436,freak me,silk,TRUMQZY128F92CE6D5,RnB	Rock,274533,274.533,Freak Me,silk,RnB	Rock,r&b
swv,1993,"""Weak""","""swv""",TRUE,6,RCA Records Label,1992-10-27,RCA Records Label,1990,FALSE,6,TRUE,5,2.23606797749979,437,weak,swv,TRQJHBI128F93456CA,NA,291906,291.906,Weak,swv,r&b,pop
shai,1993,"""If I Ever Fall in Love""","""shai""",TRUE,3,Gasoline Alley,1992-01-01,Gasoline Alley,1990,FALSE,7,FALSE,2,1.4142135623731,438,if i ever fall in love,shai,TRMFASC128F1456790,NA,189026,189.026,If I Ever Fall in Love,shai,r&b,r&b
wreckx-n-effect,1993,"""Rump Shaker""","""wreckx-n-effect""",TRUE,1,Geffen*,1992-01-01,Geffen*,1990,FALSE,9,FALSE,0,0,439,rump shaker,wreckxneffect,NA,NA,312360,312.36,Rump Shaker,wreckx-n-effect,rap,rap
snow,1993,"""Informer""","""snow""",TRUE,1,EastWest,1993,EastWest,1990,FALSE,10,FALSE,0,0,440,informer,snow,NA,NA,268910,268.91,Informer,snow,reggae,reggae
dr. dre,1993,"""Nuthin' but a 'G' Thang""","""dr. dre""",TRUE,6,"ARY, Inc. under exclusive license to Interscope Records",1992-12-15,"ARY, Inc. under exclusive license to Interscope Records",1990,FALSE,11,TRUE,5,2.23606797749979,441,nuthin but a g thang,dr dre,TRELRFY128F92F7071,Rap,237573,237.573,Nuthin' but a 'G' Thang,dr. dre,Rap,rap
h-town,1993,"""Knockin' da Boots""","""h-town""",TRUE,1,H-TOWN MUSIC INC.,1993-01-28,H-TOWN MUSIC INC.,1990,FALSE,14,FALSE,0,0,442,knockin da boots,htown,NA,NA,330945,330.945,Knockin' da Boots,h-town,r&b,r&b
duice,1993,"""Dazzey Duks""","""duice""",TRUE,1,Westbound Records,1992-03-18,Westbound Records,1990,FALSE,16,FALSE,0,0,443,dazzey duks,duice,NA,NA,244866,244.866,Dazzey Duks,duice,electronic,electronic
robin s.,1993,"""Show Me Love""","""robin s.""",TRUE,1,Atlantic Records,1993-06-15,Atlantic Records,1990,FALSE,17,FALSE,0,0,444,show me love,robin s,TRCHFTM12903CC34B5,Pop,252106,252.106,Show Me Love,robin s.,Pop,pop
soul asylum,1993,"""Runaway Train""","""soul asylum""",TRUE,2,Columbia,1992-10-06,Columbia,1990,FALSE,22,TRUE,1,1,445,runaway train,soul asylum,TREHRDF128F426B05E,Rock,266560,266.56,Runaway Train,soul asylum,Rock,rock
paperboy,1993,"""Ditty""","""paperboy""",TRUE,1,Mercury Records,1993-01-01,Mercury Records,1990,FALSE,24,FALSE,0,0,446,ditty,paperboy,NA,NA,241306,241.306,Ditty,paperboy,rap,rap
the proclaimers,1993,"""I'm Gonna Be (500 Miles)""","""the proclaimers""",TRUE,1,Parlophone UK,1988,Parlophone UK,1990,FALSE,27,FALSE,0,0,447,im gonna be 500 miles,the proclaimers,NA,NA,219466,219.466,I'm Gonna Be (500 Miles),the proclaimers,folk,pop
spin doctors,1993,"""Two Princes""","""spin doctors""",TRUE,1,Epic/Legacy,1991,Epic; Legacy,1990,TRUE,28,FALSE,0,0,448,two princes,spin doctors,NA,NA,256946,256.946,Two Princes,spin doctors,pop rock,rock
tony! toni! toné!,1993,"""If I Had No Loot""","""tony! toni! toné!""",TRUE,2,Qwest Records IGA,1991-01-01,Qwest Records IGA,1990,FALSE,35,FALSE,1,1,449,if i had no loot,tony toni ton,NA,NA,241466,241.466,If I Had No Loot,tony! toni! toné!,r&b,pop
onyx,1993,"""Slam""","""onyx""",TRUE,1,Mercury Records,1993-01-01,Mercury Records,1990,FALSE,37,FALSE,0,0,450,slam,onyx,TRZBMQM128F9303166,NA,218333,218.333,Slam,onyx,rap,rap
all-4-one,1994,"""I Swear""","""all-4-one""",TRUE,3,Atlantic Records,1994-01-01,Atlantic Records,1990,FALSE,2,TRUE,2,1.4142135623731,451,i swear,all4one,NA,NA,259853,259.853,I Swear,all-4-one,r&b,pop
lisa loeb,1994,"""Stay (I Missed You)""","[""lisa loeb"",""nine stories""]",TRUE,2,"FURIOUS ROSE PRODUCTIONS, INC.",1992,"FURIOUS ROSE PRODUCTIONS, INC.",1990,FALSE,6,TRUE,1,1,452,stay i missed you,lisa loeb,NA,NA,184333,184.333,Stay (I Missed You),lisa loeb & nine stories,folk,pop
r. kelly,1994,"""Bump n' Grind""","""r. kelly""",TRUE,18,Motown,1990-01-01,Motown,1990,FALSE,11,TRUE,17,4.12310562561766,453,bump n grind,r kelly,TRQPKQQ128F428E6ED,NA,256133,256.133,Bump n' Grind,r. kelly,r&b,r&b
john mellencamp,1994,"""Wild Night""","[""john mellencamp"",""meshell ndegeocello""]",TRUE,2,John Mellencamp 2023 (Island),1987,John Mellencamp 2023 (Island),1990,FALSE,15,TRUE,1,1,454,wild night,john mellencamp,NA,NA,207506,207.506,Wild Night,john mellencamp & meshell ndegeocello,NA,rock
coolio,1994,"""Fantastic Voyage""","""coolio""",TRUE,5,"Tommy Boy Music, LLC",1994-07-19,"Tommy Boy Music, LLC",1990,FALSE,20,TRUE,4,2,455,fantastic voyage,coolio,NA,NA,334440,334.44,Fantastic Voyage,coolio,rap,rap
big mountain,1994,"""Baby, I Love Your Way""","""big mountain""",TRUE,1,RCA/Hansa,1994-03-21,RCA; Hansa,1990,FALSE,21,FALSE,0,0,456,baby i love your way,big mountain,TRZKWIV128F931224B,Pop	Reggae,249520,249.52,"Baby, I Love Your Way",big mountain,Pop	Reggae,reggae
warren g,1994,"""Regulate""","[""warren g"",""nate dogg""]",TRUE,3,Island Records,1994-06-07,Island Records,1990,TRUE,22,TRUE,2,1.4142135623731,457,regulate,warren g,NA,NA,248866,248.866,Regulate,warren g & nate dogg,rap,rap
aaliyah,1994,"""Back & Forth""","""aaliyah""",TRUE,11,Jive,1994-05-22,Jive,1990,FALSE,24,TRUE,10,3.16227766016838,458,back and forth,aaliyah,TRMENEY128F4283E5A,RnB,231093,231.093,Back & Forth,aaliyah,RnB,pop
collective soul,1994,"""Shine""","""collective soul""",TRUE,3,Craft Recordings,1994-03-22,Craft Recordings,1990,FALSE,31,TRUE,2,1.4142135623731,459,shine,collective soul,TRSFVJP12903C9EFAD,Rock,306040,306.04,Shine,collective soul,Rock,rock
sheryl crow,1994,"""All I Wanna Do""","""sheryl crow""",TRUE,8,A&M,1993-08-03,A&M,1990,TRUE,34,TRUE,7,2.64575131106459,460,all i wanna do,sheryl crow,TRALGCA128E078EC5F,Pop,272106,272.106,All I Wanna Do,sheryl crow,Pop,rock
crash test dummies,1994,"""Mmm Mmm Mmm Mmm""","""crash test dummies""",TRUE,1,Arista,1993-04-05,Arista,1990,TRUE,35,FALSE,0,0,461,mmm mmm mmm mmm,crash test dummies,TRGMWXV128F92DF8F0,Rock,235173,235.173,Mmm Mmm Mmm Mmm,crash test dummies,Rock,rock
da brat,1994,"""Funkdafied""","""da brat""",TRUE,3,So So Def/Work,1994-06-28,So So Def; Work,1990,FALSE,37,TRUE,2,1.4142135623731,462,funkdafied,da brat,TRCCJKN128F426E04D,Rap,185933,185.933,Funkdafied,da brat,Rap,rap
drs,1994,"""Gangsta Lean""","""drs""",TRUE,1,"ARY, Inc. under exclusive license to Interscope Records",1992-12-15,"ARY, Inc. under exclusive license to Interscope Records",1990,FALSE,39,FALSE,0,0,463,gangsta lean,drs,TRDYMSY128F421FA6A,Pop	Rap,322142,322.142,Gangsta Lean,drs,Pop	Rap,NA
10,1994,"""Because the Night""","[""10"",""000 maniacs""]",TRUE,1,Arista,1978,Arista,1990,TRUE,40,FALSE,0,0,464,because the night,10,NA,NA,223373,223.373,Because the Night,10 & 000 maniacs,NA,NA
monica,1995,"""Don't Take It Personal (Just One of Dem Days)""","""monica""",TRUE,8,Arista/Legacy,1995,Arista; Legacy,1990,TRUE,9,TRUE,7,2.64575131106459,465,dont take it personal just one of dem days,monica,NA,NA,258466,258.466,Don't Take It Personal (Just One of Dem Days),monica,r&b,pop
montell jordan,1995,"""This Is How We Do It""","""montell jordan""",TRUE,4,RAL (Rush Associated Label),1995-01-01,RAL (Rush Associated Label),1990,FALSE,10,TRUE,3,1.73205080756888,466,this is how we do it,montell jordan,TRDWTVM128F92EC39C,RnB	Rock,238800,238.8,This Is How We Do It,montell jordan,RnB	Rock,r&b
dionne farris,1995,"""I Know""","""dionne farris""",TRUE,1,Columbia/Legacy,1994-05-01,Columbia; Legacy,1990,TRUE,11,FALSE,0,0,467,i know,dionne farris,NA,NA,227826,227.826,I Know,dionne farris,pop rock,pop
adina howard,1995,"""Freak Like Me""","""adina howard""",TRUE,1,Rhino/Elektra,1995,Rhino; Elektra,1990,TRUE,13,FALSE,0,0,468,freak like me,adina howard,NA,NA,253613,253.613,Freak Like Me,adina howard,r&b,pop
blues traveler,1995,"""Run-Around""","""blues traveler""",TRUE,2,A&M,1994-01-01,A&M,1990,TRUE,14,TRUE,1,1,469,runaround,blues traveler,TRQSXXR128F4266519,Rock	Blues,279800,279.8,Run-Around,blues traveler,Rock	Blues,rock
shaggy,1995,"""Boombastic"" / ""In the Summertime""","""shaggy""",TRUE,3,Virgin Records,1995-07-11,Virgin Records,1990,FALSE,18,TRUE,2,1.4142135623731,470,boombastic in the summertime,shaggy,NA,NA,238360,238.36,Boombastic / In the Summertime,shaggy,NA,NA
nicki french,1995,"""Total Eclipse of the Heart""","""nicki french""",TRUE,1,Sony Music CG,1983-04-11,Sony Music CG,1990,FALSE,19,FALSE,0,0,471,total eclipse of the heart,nicki french,NA,NA,232346,232.346,Total Eclipse of the Heart,nicki french,electronic,pop
des'ree,1995,"""You Gotta Be""","""des'ree""",TRUE,1,S2,1994,S2,1990,FALSE,20,FALSE,0,0,472,you gotta be,desree,TRITASQ128F4259A9C,NA,245200,245.2,You Gotta Be,des'ree,r&b,pop
hootie,1995,"""Hold My Hand""","[""hootie"",""the blowfish""]",TRUE,6,Atlantic Records,1994-07-01,Atlantic Records,1990,FALSE,22,TRUE,5,2.23606797749979,473,hold my hand,hootie,NA,NA,258333,258.333,Hold My Hand,hootie & the blowfish,pop rock,rock
the notorious b.i.g.,1995,"""One More Chance/Stay with Me""","""the notorious b.i.g.""",TRUE,4,Rhino Atlantic,1995,Rhino Atlantic,1990,FALSE,23,TRUE,3,1.73205080756888,474,one more chancestay with me,the notorious big,NA,NA,268706,268.706,One More Chance/Stay with Me,the notorious b.i.g.,NA,NA
soul for real,1995,"""Candy Rain""","""soul for real""",TRUE,2,Geffen,1994-01-01,Geffen,1990,FALSE,25,FALSE,1,1,475,candy rain,soul for real,TRBYRQW128F422B970,RnB,276066,276.066,Candy Rain,soul for real,RnB,r&b
blessid union of souls,1995,"""I Believe""","""blessid union of souls""",TRUE,1,Capitol Records,1995-01-01,Capitol Records,1990,FALSE,27,FALSE,0,0,476,i believe,blessid union of souls,TRGNBVG128F930AC6A,Rock,267447,267.447,I Believe,blessid union of souls,Rock,pop
jon b.,1995,"""Someone to Love""","[""jon b."",""babyface""]",TRUE,2,Yab Yum Records/550 Music/Epic,1995-05-19,Yab Yum Records; 550 Music; Epic,1990,FALSE,32,TRUE,1,1,477,someone to love,jon b,NA,NA,273400,273.4,Someone to Love,jon b. & babyface,NA,NA
brownstone,1995,"""If You Love Me""","""brownstone""",TRUE,1,MJJ Music,1993-06-01,MJJ Music,1990,FALSE,34,FALSE,0,0,478,if you love me,brownstone,TRMOCYS128F4265F7A,RnB,304160,304.16,If You Love Me,brownstone,RnB,r&b
martin page,1995,"""In the House of Stone and Light""","""martin page""",TRUE,1,Island Mercury,1994-01-01,Island Mercury,1990,FALSE,35,FALSE,0,0,479,in the house of stone and light,martin page,NA,NA,300800,300.8,In the House of Stone and Light,martin page,new age,rock
luniz,1995,"""I Got 5 on It""","""luniz""",TRUE,1,Virgin Records,1995-07-04,Virgin Records,1990,FALSE,36,FALSE,0,0,480,i got 5 on it,luniz,NA,NA,253533,253.533,I Got 5 on It,luniz,rap,rap
mokenstef,1995,"""He's Mine""","""mokenstef""",TRUE,1,Century Park Records,1995-07-04,Century Park Records,1990,FALSE,40,FALSE,0,0,481,hes mine,mokenstef,TRFRWAS128F92F00FD,RnB,254106,254.106,He's Mine,mokenstef,RnB,r&b
los del río,1996,"""Macarena (Bayside Boys Mix)""","""los del río""",TRUE,3,RCA Records Label,1996-04-29,RCA Records Label,1990,FALSE,1,TRUE,2,1.4142135623731,482,macarena bayside boys mix,los del ro,NA,NA,217940,217.94,Macarena (Bayside Boys Mix),los del río,NA,NA
the tony rich project,1996,"""Nobody Knows""","""the tony rich project""",TRUE,1,Arista/LaFace Records,1996-01-16,Arista; LaFace Records,1990,TRUE,4,FALSE,0,0,483,nobody knows,the tony rich project,TRPMSAQ128F4288313,RnB,306933,306.933,Nobody Knows,the tony rich project,RnB,pop
donna lewis,1996,"""I Love You Always Forever""","""donna lewis""",TRUE,2,Atlantic Records,1996-04-16,Atlantic Records,1990,FALSE,8,TRUE,1,1,484,i love you always forever,donna lewis,NA,NA,239960,239.96,I Love You Always Forever,donna lewis,new age,pop
quad city dj's,1996,"""C'mon N' Ride It (The Train)""","""quad city dj's""",TRUE,1,Big Beat Records/Atlantic,1996-06-18,Big Beat Records; Atlantic,1990,FALSE,11,FALSE,0,0,485,cmon n ride it the train,quad city djs,NA,NA,451440,451.44,C'mon N' Ride It (The Train),quad city dj's,rap,pop
everything but the girl,1996,"""Missing""","""everything but the girl""",TRUE,1,Chrysalis Records,1994-06-13,Chrysalis Records,1990,FALSE,12,FALSE,0,0,486,missing,everything but the girl,TRCLBXD128F932472C,Rock,236293,236.293,Missing,everything but the girl,Rock,electronic
alanis morissette,1996,"""Ironic""","""alanis morissette""",TRUE,3,Rhino/Maverick Records,1995,Rhino; Maverick Records,1990,TRUE,13,TRUE,2,1.4142135623731,487,ironic,alanis morissette,TRZGDVP128F14531F0,Pop	Rock,230000,230,Ironic,alanis morissette,Pop	Rock,rock
jann arden,1996,"""Insensitive""","""jann arden""",TRUE,1,Universal Music Canada,1994-01-01,Universal Music Canada,1990,FALSE,22,FALSE,0,0,488,insensitive,jann arden,NA,NA,255893,255.893,Insensitive,jann arden,jazz,pop
la bouche,1996,"""Be My Lover""","""la bouche""",TRUE,2,MCI,1995-03-11,MCI,1990,FALSE,23,FALSE,1,1,489,be my lover,la bouche,TRMZBSX128F42A1760,NA,169523,169.523,Be My Lover,la bouche,electronic,pop
goo goo dolls,1996,"""Name""","""goo goo dolls""",TRUE,6,Warner Records,1995,Warner Records,1990,FALSE,24,TRUE,5,2.23606797749979,490,name,goo goo dolls,TRPKYSD128F934AB41,Rock,270000,270,Name,goo goo dolls,Rock,rock
jewel,1996,"""Who Will Save Your Soul""","""jewel""",TRUE,6,RAL,1994-01-01,RAL,1990,FALSE,25,TRUE,5,2.23606797749979,491,who will save your soul,jewel,TRMPGIW128F9330A28,Pop,239293,239.293,Who Will Save Your Soul,jewel,Pop,pop
no mercy,1996,"""Where Do You Go""","""no mercy""",TRUE,2,MCI,1996-10-05,MCI,1990,FALSE,26,TRUE,1,1,492,where do you go,no mercy,TRSLHRK128F42A1751,Pop	Rock,272093,272.093,Where Do You Go,no mercy,Pop	Rock,pop
dishwalla,1996,"""Counting Blue Cars""","""dishwalla""",TRUE,1,A&M,1995-01-01,A&M,1990,TRUE,28,FALSE,0,0,493,counting blue cars,dishwalla,TRCXZKY128F92E81CD,Rock,291906,291.906,Counting Blue Cars,dishwalla,Rock,rock
joan osborne,1996,"""One of Us""","""joan osborne""",TRUE,1,Island Mercury,1995-01-01,Island Mercury,1990,FALSE,30,FALSE,0,0,494,one of us,joan osborne,TRRJPIK128E07848C9,Pop,320466,320.466,One of Us,joan osborne,Pop,rock
112,1996,"""Only You""","[""112"",""the notorious b.i.g.""]",TRUE,6,Rhino Atlantic,1996-06-27,Rhino Atlantic,1990,FALSE,34,TRUE,5,2.23606797749979,495,only you,112,NA,NA,289413,289.413,Only You,112 & the notorious b.i.g.,NA,NA
deep blue something,1996,"""Breakfast at Tiffany's""","""deep blue something""",TRUE,1,RCA Records Label,1961-10-19,RCA Records Label,1990,FALSE,39,FALSE,0,0,496,breakfast at tiffanys,deep blue something,TREVCGZ128E079232A,Rock,257373,257.373,Breakfast at Tiffany's,deep blue something,Rock,pop
puff daddy,1997,"""I'll Be Missing You""","[""puff daddy"",""faith evans"",""112""]",TRUE,6,Rhino Atlantic,1997,Rhino Atlantic,1990,FALSE,3,TRUE,5,2.23606797749979,497,ill be missing you,puff daddy,NA,NA,301520,301.52,I'll Be Missing You,puff daddy & faith evans & 112,rap,rap
mark morrison,1997,"""Return of the Mack""","""mark morrison""",TRUE,1,WM UK,1996-04-22,WM UK,1990,FALSE,8,FALSE,0,0,498,return of the mack,mark morrison,NA,NA,213093,213.093,Return of the Mack,mark morrison,r&b,pop
